epoch,train_loss,train_err,test_err
0,1.3242003917694092,0.51138,0.5041
1,0.9348315000534058,0.39624,0.4007
2,0.614656388759613,0.33406,0.3489
3,0.8366400003433228,0.28518,0.2877
4,0.6847484111785889,0.28876,0.2905
5,0.7118051648139954,0.22578,0.2384
6,0.5214998126029968,0.21552,0.2248
7,0.6585224866867065,0.28154,0.2904
8,0.8100051879882812,0.22186,0.2324
9,0.5694636702537537,0.20532,0.2205
10,0.5378144383430481,0.20596,0.2236
11,0.49471157789230347,0.22284,0.251
12,0.48674169182777405,0.18404,0.1991
13,0.45383769273757935,0.20368,0.2237
14,0.6278737783432007,0.16168,0.1898
15,0.42398351430892944,0.15872,0.1825
16,0.37783241271972656,0.20544,0.2319
17,0.42750033736228943,0.20384,0.2312
18,0.36650121212005615,0.15448,0.1778
19,0.42088252305984497,0.16394,0.1913
20,0.34503373503685,0.18398,0.2069
21,0.3504882752895355,0.1381,0.1668
22,0.42100605368614197,0.15584,0.1872
23,0.46350446343421936,0.16244,0.1946
24,0.21983304619789124,0.14452,0.1714
25,0.3057005703449249,0.15986,0.1937
26,0.2752193808555603,0.11974,0.1535
27,0.48140376806259155,0.13068,0.1608
28,0.4360441565513611,0.14374,0.1847
29,0.47397756576538086,0.1508,0.1814
30,0.35712289810180664,0.1373,0.1652
31,0.25433069467544556,0.13134,0.1694
32,0.30691272020339966,0.14294,0.1703
33,0.2138393372297287,0.14048,0.177
34,0.49113672971725464,0.14808,0.1817
35,0.3887103497982025,0.13804,0.1787
36,0.25954917073249817,0.11434,0.1582
37,0.36532682180404663,0.15908,0.2
38,0.46620455384254456,0.12888,0.1699
39,0.5075030326843262,0.13498,0.1787
40,0.20347246527671814,0.1381,0.1774
41,0.37294137477874756,0.1435,0.1833
42,0.2984001636505127,0.13822,0.1714
43,0.1987002193927765,0.17246,0.2027
44,0.2539970278739929,0.11798,0.1593
45,0.3595734238624573,0.13702,0.1768
46,0.36588340997695923,0.14202,0.1915
47,0.36956295371055603,0.14384,0.1824
48,0.22412900626659393,0.13552,0.1682
49,0.31048583984375,0.1349,0.1827
50,0.31155210733413696,0.15338,0.19
51,0.2746701240539551,0.1445,0.1821
52,0.4346156716346741,0.12636,0.166
53,0.31007689237594604,0.13998,0.177
54,0.4141484200954437,0.14064,0.1784
55,0.2387527972459793,0.14608,0.1898
56,0.22912316024303436,0.1126,0.1599
57,0.2838597595691681,0.14808,0.1908
58,0.23505783081054688,0.1269,0.1747
59,0.37111037969589233,0.11128,0.1557
60,0.20059411227703094,0.12298,0.17
61,0.4332239031791687,0.12812,0.1726
62,0.30660325288772583,0.1144,0.1589
63,0.3523072302341461,0.11054,0.1472
64,0.3843483626842499,0.1571,0.1961
65,0.29590868949890137,0.1236,0.1699
66,0.42329055070877075,0.11194,0.1614
67,0.27244552969932556,0.12798,0.1711
68,0.33730894327163696,0.11714,0.1608
69,0.3328630328178406,0.10402,0.1506
70,0.17351967096328735,0.14094,0.1753
71,0.3298388123512268,0.1382,0.174
72,0.355793297290802,0.1258,0.1785
73,0.1784181445837021,0.11364,0.1654
74,0.3350568413734436,0.12818,0.1749
75,0.47579139471054077,0.1151,0.1601
76,0.22154191136360168,0.13104,0.1755
77,0.15562090277671814,0.12202,0.1662
78,0.5993672609329224,0.13022,0.1803
79,0.22791221737861633,0.09416,0.1484
80,0.3012034595012665,0.11046,0.1544
81,0.25587600469589233,0.1112,0.1621
82,0.21282723546028137,0.0462,0.1088
83,0.18703840672969818,0.04178,0.1075
84,0.12026514112949371,0.03734,0.1047
85,0.19464705884456635,0.0357,0.1015
86,0.14836445450782776,0.03444,0.1024
87,0.16228856146335602,0.03228,0.1024
88,0.08054918050765991,0.03288,0.1039
89,0.06422615796327591,0.0319,0.1028
90,0.09260840713977814,0.0296,0.1022
91,0.11016948521137238,0.02806,0.1011
92,0.17395715415477753,0.02752,0.1037
93,0.08241643011569977,0.02632,0.1016
94,0.12131655216217041,0.027,0.1031
95,0.0932004302740097,0.02566,0.102
96,0.05600332096219063,0.0245,0.1041
97,0.05587322637438774,0.02468,0.1019
98,0.09629777073860168,0.02304,0.1011
99,0.023355012759566307,0.02322,0.1004
